danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.796,0.806,1,-3.441,0,0.321,0.332,0.0,0.104,0.56,178.007
0.826,0.596,11,-5.262,1,0.0357,0.292,0.0,0.166,0.869,127.922
0.737,0.709,8,-6.889,0,0.045,0.333,0.0,0.289,0.556,125.997
0.843,0.729,6,-3.634,0,0.0374,0.401,1.2e-06,0.206,0.903,123.046
0.813,0.694,7,-5.092,0,0.0319,0.602,1.37e-06,0.0919,0.92,119.079
0.783,0.781,4,-3.079,1,0.0419,0.574,0.0,0.323,0.771,125.9
0.75,0.665,8,-3.083,1,0.124,0.265,0.0,0.0515,0.697,95.239
0.759,0.639,4,-8.085,0,0.0511,0.207,0.0,0.23,0.682,128.01
0.802,0.725,0,-5.965,0,0.0676,0.574,0.0,0.0821,0.598,128.04
0.732,0.708,9,-7.905,0,0.262,0.534,0.0,0.237,0.717,175.924
0.825,0.605,11,-9.71,1,0.0376,0.0764,0.0,0.314,0.944,124.005
0.779,0.589,5,-10.645,1,0.0345,0.332,0.0,0.12,0.894,128.044
0.804,0.56,1,-6.912,0,0.0397,0.416,0.0,0.0608,0.768,133.682
0.745,0.716,9,-8.221,0,0.0411,0.202,0.0,0.059,0.817,132.932
0.812,0.506,1,-10.729,1,0.0533,0.143,0.0,0.132,0.701,125.941
0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896
0.732,0.64,0,-9.859,1,0.0378,0.586,1.81e-05,0.104,0.715,125.015
0.781,0.491,8,-8.793,1,0.0444,0.471,0.0,0.0972,0.913,124.971
0.811,0.562,5,-10.183,0,0.0368,0.137,0.0,0.0623,0.965,129.039
0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001
0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943
0.79,0.716,10,-3.446,0,0.0929,0.0297,1.87e-05,0.213,0.627,100.104
0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.39,112.509
0.887,0.727,4,-4.318,0,0.135,0.381,1.16e-06,0.213,0.932,130.035
0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042
0.916,0.595,1,-4.418,0,0.0665,0.0507,0.0,0.107,0.638,122.024
0.926,0.726,5,-4.669,0,0.227,0.282,0.0,0.11,0.69,137.975
0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251
0.952,0.478,5,-8.52,0,0.361,0.774,0.0,0.112,0.568,118.008
0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987
0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95
0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937
0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983
0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976
0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229
0.457,0.719,4,-3.921,0,0.0323,0.191,0.0,0.228,0.168,142.034
0.482,0.873,0,-3.145,1,0.0853,0.0111,0.0,0.409,0.737,165.084
0.454,0.865,4,-3.841,1,0.0561,0.0323,0.0,0.186,0.34,166.018
0.348,0.907,5,-3.66,0,0.0497,0.000516,0.0,0.161,0.177,185.406
