artist_name,genres,followers,artist_popularity,artist_url
Jason Derulo,"dance pop, pop",12157241,77,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
Jason Derulo,"dance pop, pop",12157241,67,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
Jason Derulo,"dance pop, pop",12157241,65,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
Jason Derulo,"dance pop, pop",12157241,72,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
Jason Derulo,"dance pop, pop",12157241,65,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
Jason Derulo,"dance pop, pop",12157241,65,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
Jason Derulo,"dance pop, pop",12157241,62,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
Jason Derulo,"dance pop, pop",12157241,63,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
Jason Derulo,"dance pop, pop",12157241,70,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
Jason Derulo,"dance pop, pop",12157241,67,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
Alan Walker,electro house,39210855,81,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
Alan Walker,electro house,39210855,72,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
Alan Walker,electro house,39210855,73,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
Alan Walker,electro house,39210855,62,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
Alan Walker,electro house,39210855,74,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
Alan Walker,electro house,39210855,57,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
Alan Walker,electro house,39210855,72,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
Alan Walker,electro house,39210855,72,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
Alan Walker,electro house,39210855,72,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
Alan Walker,electro house,39210855,71,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie",575931,62,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie",575931,60,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie",575931,55,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie",575931,52,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie",575931,51,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie",575931,49,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie",575931,50,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie",575931,50,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie",575931,49,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie",575931,48,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt
Ava Max,pop,7041802,76,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
Ava Max,pop,7041802,80,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
Ava Max,pop,7041802,71,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
Ava Max,pop,7041802,78,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
Ava Max,pop,7041802,73,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
Ava Max,pop,7041802,74,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
Ava Max,pop,7041802,73,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
Ava Max,pop,7041802,72,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
